Sep=;
#X1;-673;(-2692)
#Z1;-617;(-2468)
#X2;672;(2688)
#Z2;616;(2464)
#scale;1:4
seed;#;badlands;bamboo_jungle;beach;birch_forest;cherry_grove;cold_ocean;dark_forest;deep_cold_ocean;deep_frozen_ocean;deep_lukewarm_ocean;deep_ocean;desert;eroded_badlands;flower_forest;forest;frozen_ocean;frozen_peaks;frozen_river;grove;ice_spikes;jagged_peaks;jungle;lukewarm_ocean;mangrove_swamp;meadow;mushroom_fields;ocean;old_growth_birch_forest;old_growth_pine_taiga;old_growth_spruce_taiga;pale_garden;plains;river;savanna;savanna_plateau;snowy_beach;snowy_plains;snowy_slopes;snowy_taiga;sparse_jungle;stony_peaks;stony_shore;sunflower_plains;swamp;taiga;warm_ocean;windswept_forest;windswept_gravelly_hills;windswept_hills;windswept_savanna;wooded_badlands
3409787867872887768;39;0;10651;58048;40835;1179;41879;24506;38703;0;32996;291326;0;0;9438;154268;0;293;75;1581;0;10;52052;62399;9160;3601;974;402454;19021;38;0;2488;154974;92091;47214;3151;0;410;381;142;38874;0;11647;6629;26979;5098;0;6576;0;5417;3406;0
8050747283878183909;49;10426;9330;34793;23672;74;81790;19321;86260;68765;151866;135638;32341;3689;2716;119737;88363;2493;5117;12121;846;2231;6664;211721;0;5611;4626;168151;22092;10426;7150;5345;73005;49103;27158;2365;1348;11125;1625;4570;7295;1036;38704;2270;1370;15772;74881;490;0;3973;4306;7193
5954603132313928681;45;5669;10292;51866;65782;90;32882;75648;37437;2787;124145;157862;15503;4;3617;165534;30058;103;751;7312;0;3892;50308;198716;26708;16564;8106;196294;61029;5110;0;11477;65998;74189;45044;247;945;439;1568;5514;22301;417;19536;22;0;3288;50805;0;0;0;3618;1487
-6788332013330889750;40;6739;18714;31258;35172;345;8041;62339;1664;0;150989;264592;2874;5609;12468;81297;0;2341;0;3883;0;227;53145;187570;0;4593;12400;312846;36837;0;0;15076;69136;59168;14617;353;0;0;510;0;24626;6208;42318;8218;2744;918;97578;568;0;11;2978;19994
5888456512786924550;42;0;374;52058;71084;5214;39223;71331;17397;3907;120501;123335;0;0;21617;217727;14946;921;1002;9096;0;6276;3232;35774;385;22843;2164;320652;54189;546;410;3677;207887;111072;56763;5395;270;82;2968;0;1279;0;6062;20189;5926;6440;0;3914;0;4987;7849;0
3770357313039238156;45;0;8016;49596;25583;116;45952;50215;493;573;325043;81325;0;0;11741;177087;10700;0;3538;668;1457;796;27861;231374;1556;5549;1934;80730;34222;8391;6435;2804;205399;96169;57073;1074;2916;7617;232;6094;5404;1606;9900;8492;5;52408;0;1510;5739;2601;2970;0
8485063172942726180;41;0;2374;44530;50289;4597;54828;36656;9986;830;31941;310950;0;0;12812;215289;10333;1982;5885;2590;803;395;4910;48988;0;26727;5235;254157;51552;4740;3422;2537;218374;115572;27075;3970;4814;16822;2141;7283;9397;363;13209;13217;0;28957;0;0;0;0;432;0
-4311915168230538203;37;0;2576;38794;78241;6329;35053;60348;8999;0;40435;300370;0;0;7960;282200;0;3240;0;7658;0;5329;8681;45735;0;20879;6760;245171;60113;2522;7352;8243;158952;104186;24409;278;0;0;6813;0;7732;22;9448;13087;513;47308;0;755;0;2561;1912;0
-446419313063099322;40;27240;3476;56941;17601;49;55162;10886;34380;0;273903;80645;39312;8139;872;134457;0;0;0;2904;0;110;49102;305825;0;3026;712;199716;21147;611;188;1798;76780;70445;81913;2654;0;0;0;0;27732;1145;25106;787;2100;11954;17074;2916;0;1563;3401;7192
1835779798106899554;46;0;18154;41793;33402;2983;70289;38910;38149;1193;80234;76943;0;0;25128;191827;6128;3020;6155;8691;527;1080;48938;107146;3660;15209;150;243192;42192;9013;877;2867;144101;80067;84820;5214;1877;35115;18358;19655;33151;1122;25688;23021;29477;18433;0;11637;1238;4363;5777;0
